commit_sha	submodule
00355edc07073b71e9bb8d4640797826de838298	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
00355edc07073b71e9bb8d4640797826de838298	git-hangup-investigation
00355edc07073b71e9bb8d4640797826de838298	git-lfs-lite
00355edc07073b71e9bb8d4640797826de838298	githooks
00355edc07073b71e9bb8d4640797826de838298	llama-cpp-tk
00355edc07073b71e9bb8d4640797826de838298	mcp
00355edc07073b71e9bb8d4640797826de838298	mdns-inspector
00355edc07073b71e9bb8d4640797826de838298	mouse-pointer
00355edc07073b71e9bb8d4640797826de838298	pictogram
00355edc07073b71e9bb8d4640797826de838298	remove-desktop-ini
00355edc07073b71e9bb8d4640797826de838298	shellex-rust
00355edc07073b71e9bb8d4640797826de838298	static-lunr
00355edc07073b71e9bb8d4640797826de838298	test/add-http-tests-and-fix-stdio
00355edc07073b71e9bb8d4640797826de838298	windows-moukaeritai-work
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	git-hangup-investigation
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	git-lfs-lite
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	githooks
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	llama-cpp-tk
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	mcp
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	mdns-inspector
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	mouse-pointer
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	pictogram
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	remove-desktop-ini
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	shellex-rust
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	static-lunr
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	test/add-http-tests-and-fix-stdio
00620cc1bf068c8ebfdf6423c60deddd2c98ecc6	windows-moukaeritai-work
0178c38d97decfbca8d7664104c02ac402786e93	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
0178c38d97decfbca8d7664104c02ac402786e93	feat/mcp-filelist-server
0178c38d97decfbca8d7664104c02ac402786e93	git-hangup-investigation
0178c38d97decfbca8d7664104c02ac402786e93	git-lfs-lite
0178c38d97decfbca8d7664104c02ac402786e93	githooks
0178c38d97decfbca8d7664104c02ac402786e93	llama-cpp-tk
0178c38d97decfbca8d7664104c02ac402786e93	mcp
0178c38d97decfbca8d7664104c02ac402786e93	mdns-inspector
0178c38d97decfbca8d7664104c02ac402786e93	mouse-pointer
0178c38d97decfbca8d7664104c02ac402786e93	pictogram
0178c38d97decfbca8d7664104c02ac402786e93	remove-desktop-ini
0178c38d97decfbca8d7664104c02ac402786e93	shellex-rust
0178c38d97decfbca8d7664104c02ac402786e93	static-lunr
0178c38d97decfbca8d7664104c02ac402786e93	test/add-http-tests-and-fix-stdio
0178c38d97decfbca8d7664104c02ac402786e93	windows-moukaeritai-work
017daae8181b4b16503b68f445022b1f7662afef	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
017daae8181b4b16503b68f445022b1f7662afef	git-hangup-investigation
017daae8181b4b16503b68f445022b1f7662afef	git-lfs-lite
017daae8181b4b16503b68f445022b1f7662afef	githooks
017daae8181b4b16503b68f445022b1f7662afef	llama-cpp-tk
017daae8181b4b16503b68f445022b1f7662afef	mcp
017daae8181b4b16503b68f445022b1f7662afef	mdns-inspector
017daae8181b4b16503b68f445022b1f7662afef	mouse-pointer
017daae8181b4b16503b68f445022b1f7662afef	pictogram
017daae8181b4b16503b68f445022b1f7662afef	remove-desktop-ini
017daae8181b4b16503b68f445022b1f7662afef	shellex-rust
017daae8181b4b16503b68f445022b1f7662afef	static-lunr
017daae8181b4b16503b68f445022b1f7662afef	test/add-http-tests-and-fix-stdio
017daae8181b4b16503b68f445022b1f7662afef	windows-moukaeritai-work
01aa136b196e7052f09bfbbed2bc92e4e1bff808	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
01aa136b196e7052f09bfbbed2bc92e4e1bff808	git-hangup-investigation
01aa136b196e7052f09bfbbed2bc92e4e1bff808	git-lfs-lite
01aa136b196e7052f09bfbbed2bc92e4e1bff808	githooks
01aa136b196e7052f09bfbbed2bc92e4e1bff808	llama-cpp-tk
01aa136b196e7052f09bfbbed2bc92e4e1bff808	mcp
01aa136b196e7052f09bfbbed2bc92e4e1bff808	mdns-inspector
01aa136b196e7052f09bfbbed2bc92e4e1bff808	mouse-pointer
01aa136b196e7052f09bfbbed2bc92e4e1bff808	pictogram
01aa136b196e7052f09bfbbed2bc92e4e1bff808	remove-desktop-ini
01aa136b196e7052f09bfbbed2bc92e4e1bff808	shellex-rust
01aa136b196e7052f09bfbbed2bc92e4e1bff808	static-lunr
01aa136b196e7052f09bfbbed2bc92e4e1bff808	test/add-http-tests-and-fix-stdio
01aa136b196e7052f09bfbbed2bc92e4e1bff808	windows-moukaeritai-work
01da758f82e09bb429882eed29ea0ae80d8bc646	9b7310d2-2d5c-4b70-8fd3-f286f3cfc61b
01da758f82e09bb429882eed29ea0ae80d8bc646	git-hangup-investigation
01da758f82e09bb429882eed29ea0ae80d8bc646	git-lfs-lite
01da758f82e09bb429882eed29ea0ae80d8bc646	githooks
01da758f82e09bb429882eed29ea0ae80d8bc646	llama-cpp-tk
01da758f82e09bb429882eed29ea0ae80d8bc646	mcp
01da758f82e09bb429882eed29ea0ae80d8bc646	mdns-inspector
01da758f82e09bb429882eed29ea0ae80d8bc646	mouse-pointer
01da758f82e09bb429882eed29ea0ae80d8bc646	pictogram
01da758f82e09bb429882eed29ea0ae80d8bc646	remove-desktop-ini
01da758f82e09bb429882eed29ea0ae80d8bc646	shellex-rust
01da758f82e09bb429882eed29ea0ae80d8bc646	static-lunr
